Ubigeo e Identificador MCP;Departamento;Provincia, Distrito y Municipalidad de Centro Poblado;Región natural (según piso altitudinal);Nombre del Alcalde;Dirección;Viviendas particulares;Teléfonos;Correo Electrónico;Directorio de Municipalidad de Centro Poblado;;;;;;
1510;15b.3 lima: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Yauyos;;;;;;;;;;;;;
1602;16.3 departamento loreto: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Alto Amazonas;;;;;;;;;;;;;
1603;16.3 departamento loreto: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Loreto;;;;;;;;;;;;;
1604;16.3 departamento loreto: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Mariscal Ramón Castilla;;;;;;;;;;;;;
1605;16.3 departamento loreto: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Requena;;;;;;;;;;;;;
1606;16.3 departamento loreto: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Ucayali;;;;;;;;;;;;;
1703;17.3 departamento madre de dios: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Tahuamanu;;;;;;;;;;;;;
1802;18.3 departamento moquegua: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;General Sánchez Cerro;;;;;;;;;;;;;
1902;19.3 departamento pasco: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Daniel Alcides Carrión;;;;;;;;;;;;;
1903;19.3 departamento pasco: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Oxapampa;;;;;;;;;;;;;
0202;2.3 departamento ancash: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Aija;;;;;;;;;;;;;
0203;2.3 departamento ancash: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Antonio Raymondi;;;;;;;;;;;;;
0204;2.3 departamento ancash: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Asunción;;;;;;;;;;;;;
0205;2.3 departamento ancash: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Bolognesi;;;;;;;;;;;;;
0206;2.3 departamento ancash: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Carhuaz;;;;;;;;;;;;;
